Name,URL,Category,Description,Misc
Purwanchal Khabar,https://www.purwanchalkhabar.com/,"Regional News, Online","News portal focusing on the eastern region of Nepal, offering news in Nepali.",
Khojtalash,https://khojtalash.com/,"Investigative News, Online",News portal dedicated to investigative journalism and in-depth reporting in Nepali.,
Nayakhabar,https://www.nayakhabar.com/,"General News, Online",Online news platform offering the latest news and features in Nepali.,
Nepali Aawaz,https://www.nepaliaawaz.com/,"Diaspora News, Online",News portal focused on Nepali diaspora communities with content in Nepali.,
Bhaskar Daily,https://www.bhaskardaily.com/,"General News, Online",Online news portal offering news and updates in Nepali.,
Headline Nepal,https://www.headlinenepal.com/,"General News, Online",Digital news portal providing national news and updates in Nepali.,
Nepalaja,https://www.nepalaja.com/,"General News, Online",Online news platform delivering news on various topics in Nepali.,
Swatantra Khabar,https://swatantrakhabar.com/,"General News, Online",News portal offering the latest news and opinions in Nepali.,
Hello Nepal,https://hellonepalnews.com/,"Diaspora News, Online","Online news portal for the Nepali diaspora, providing news and updates in Nepali.",
Nepal Sanchar,https://www.nepalsanchar.com/,"General News, Online",News portal providing national and international news in Nepali.,
Janakpur Today,https://www.janakpurtoday.com/,"Regional News, Online","News portal focusing on Janakpur and the Madhesh region, offering news in Nepali.",
Enewspolar,https://www.enewspolar.com/,"General News, Online",Online news portal delivering the latest updates and news in Nepali.,
Himalayan Times,https://thehimalayantimes.com/,"General News, English","Leading English-language daily newspaper in Nepal, covering national and international news.",
Gorkha Express,https://www.gorkhaexpress.com/,"General News, Online",Online news portal providing news and updates in Nepali.,
Purbeli,https://purbelinews.com/,"Regional News, Online","News portal focused on the eastern region of Nepal, providing news in Nepali.",
Sudarshan News,https://www.sudarshannews.com/,"General News, Online",Digital news portal offering a range of news topics in Nepali.,
Nepal Post Daily,https://www.nepalpostdaily.com/,"General News, Online",News portal providing national and international news in Nepali.,
Saptahik,https://saptahik.com.np/,"Weekly News, Entertainment",Weekly magazine focusing on entertainment and lifestyle news in Nepali.,
Nepal Update,https://www.nepalupdate.com/,"General News, Online",Online platform providing the latest news updates in Nepali.,
Khasokhas,https://khasokhas.com/,"Diaspora News, Online","News portal catering to the Nepali community abroad, offering news in Nepali.",
Khulapatra,https://khulapatra.com/,"General News, Online",Online news portal delivering national news and current affairs in Nepali.,
Nepali E-Chords,https://www.nepaliechords.com/,"Music News, Online","News portal dedicated to Nepali music, providing news and updates in Nepali.",
Nepal Focus,https://www.nepalfocus.com/,"General News, Online",Online news portal offering news and analysis in Nepali.,
Mero Khabar,https://merokhabar.com/,"General News, Online",News portal providing national news and updates in Nepali.,
Jhapa News,https://www.jhapanews.com/,"Regional News, Online","News portal focusing on the Jhapa region, offering news in Nepali.",
Nepal Pyaro,https://nepalpyaro.com/,"General News, Online",Online news portal offering the latest updates in Nepali.,
Khabar Dainik,https://www.khabardainik.com/,"General News, Online",Digital news portal delivering national and international news in Nepali.,
Naya Samachar,https://nayasamachar.com/,"General News, Online",News portal offering updates on current events in Nepali.,
Serofero,https://seroferonews.com/,"General News, Online",Online news portal providing in-depth news coverage in Nepali.,
DCnepal,https://dcnepal.com/,"Diaspora News, Online","News portal focused on the Nepali diaspora, providing news and updates in both Nepali and English.",
Bhojpurkhabar,https://www.bhojpurkhabar.com/,"Regional News, Online","News portal covering news from the Bhojpur district, offering content in Nepali.",
Nepali Diary,https://nepalidiary.com/,"General News, Online",Digital news platform providing national and international news in Nepali.,
Lokantar,https://lokaantar.com/,"General News, Online",Online news platform providing news and updates in Nepali.,
Janakpur News,https://janakpurnews.com/,"Regional News, Online",News portal focusing on news from Janakpur and surrounding areas in Nepali.,
Nepalitelegraph,https://nepalitelegraph.com/,"Diaspora News, Online",News portal catering to the Nepali diaspora with updates in Nepali.,
Rising Nepal,https://therisingnepal.org.np/,"General News, English",Government-owned English-language daily newspaper offering news and views.,
Nepal Diary,https://nepaldiary.com/,"General News, Online",Digital platform delivering news and articles on current affairs in Nepali.,
Rajdhani Daily,https://rajdhanidaily.com/,"General News, Daily",Daily newspaper offering a wide range of news coverage in Nepali.,
Nepal Samacharpatra,https://nepalsamacharpatra.com/,"General News, Daily",Nepali-language daily newspaper covering a wide range of topics.,
Hamrakura,https://hamrakura.com/,"General News, Online",Online news portal offering a wide range of news topics in Nepali.,
Nepal Samaya,https://nepalsamaya.com/,"General News, Online",Digital news platform providing national and international news in Nepali.,
Ratopati,https://ratopati.com/,"General News, Online","One of the most popular online news portals in Nepal, offering news in Nepali.",
Image Khabar,https://imagekhabar.com/,"General News, Online",Online news portal providing news coverage on various topics in Nepali.,
Khabarhub,https://khabarhub.com/,"General News, Online",Digital news platform offering news and updates in Nepali and English.,
Shilapatra,https://shilapatra.com/,"General News, Online",Popular online news platform offering news and opinions in Nepali.,
Thahakhabar,https://thahakhabar.com/,"General News, Online",Online news portal known for its comprehensive coverage of current affairs in Nepali.,
Mysansar,https://mysansar.com/,"General News, Blog","Popular Nepali blog providing news, opinions, and analysis.",
Samacharpati,https://samacharpati.com/,"General News, Online",Online news platform providing national and international news in Nepali.,
Dainik Nepal,https://dainiknepal.com/,"General News, Online",Online news portal offering the latest news and updates in Nepali.,
Nepal Khabar,https://nepalkhabar.com/,"General News, Online",Digital news platform providing a variety of news topics in Nepali.,
Bizkhabar,https://bizkhabar.com/,"Business News, Online",Online portal dedicated to business news and economic updates in Nepali.,
Suprabhat,https://suprabhatonline.com/,"General News, Online",Online news portal offering news and updates in Nepali.,
Abhiyan,https://abhiyan.com.np/,"Business News, Online",News portal focusing on business and economic news in Nepali.,
Sourya Daily,https://souryadaily.com/,"General News, Daily",Daily newspaper offering national and international news in Nepali.,
Nepal Live Today,https://www.nepallivetoday.com/,"General News, Online","Digital news platform offering news, analysis, and features in English.",
Sansar News,https://sansarnews.com/,"General News, Online",Online news portal offering a wide range of news topics in Nepali.,
Nepali Headlines,https://nepaliheadlines.com/,"General News, Online","Online news portal offering news, features, and opinions in Nepali.",
Samaya Post,https://samayapost.com/,"Business News, Online","News portal dedicated to business, finance, and economic news in Nepali.",
Purwanchal Khabar,https://purwanchalkhabar.com/,"Regional News, Online","News portal focusing on the eastern region of Nepal, offering news in Nepali.",
Nepal Aaja,https://nepalaaja.com/,"General News, Online",Online news portal delivering news on various topics in Nepali.,
